Time,ID,Latitude,Longitude,Wind Angle,Pressure,Humidity,Temperature
2025-02-12 12:33:41,4,37.86272,-122.31313,285.0,1013.33,39.89,14.95
2025-02-12 12:33:45,4,37.862713,-122.31313,296.0,1013.34,39.92,15.06
2025-02-12 12:33:48,4,37.862717,-122.31313,288.0,1013.31,40.42,14.92
2025-02-12 12:33:51,4,37.862717,-122.31313,259.0,1013.37,41.18,14.87
2025-02-12 12:33:54,4,37.862709,-122.31314,285.0,1013.33,40.99,14.88
2025-02-12 12:33:57,4,37.862713,-122.31313,253.0,1013.38,40.27,14.8
2025-02-12 12:34:00,4,37.862705,-122.31313,288.0,1013.38,40.54,14.95
2025-02-12 12:34:03,4,37.862717,-122.31314,284.0,1013.39,40.81,14.89
2025-02-12 12:34:06,4,37.862713,-122.31313,257.0,1013.37,41.22,14.81
2025-02-12 12:34:09,4,37.86272,-122.31314,263.0,1013.35,42.03,14.82
2025-02-12 12:34:12,4,37.862724,-122.31315,260.0,1013.32,41.67,14.79
2025-02-12 12:34:15,4,37.86272,-122.31315,267.0,1013.33,41.28,14.84
2025-02-12 12:34:18,4,37.862713,-122.31315,201.0,1013.35,41.62,14.82
2025-02-12 12:34:21,4,37.86272,-122.31317,253.0,1013.32,41.85,14.76
2025-02-12 12:34:24,4,37.862743,-122.31317,259.0,1013.31,41.59,14.6
2025-02-12 12:34:27,4,37.862755,-122.31317,249.0,1013.32,43.01,14.39
2025-02-12 12:34:30,4,37.862766,-122.31317,270.0,1013.32,43.55,14.37
2025-02-12 12:34:33,4,37.862774,-122.31316,248.0,1013.34,43.65,14.21
2025-02-12 12:34:36,4,37.862782,-122.31315,284.0,1013.28,43.39,14.19
2025-02-12 12:34:40,4,37.862789,-122.31316,322.0,1013.25,44.54,14.14
2025-02-12 12:34:43,4,37.862789,-122.31316,325.0,1013.36,45.48,14.36
2025-02-12 12:34:46,4,37.862797,-122.31314,320.0,1013.3,44.84,14.46
2025-02-12 12:34:49,4,37.862785,-122.31313,315.0,1013.35,44.02,14.45
2025-02-12 12:34:52,4,37.862778,-122.31313,316.0,1013.36,44.14,14.59
2025-02-12 12:34:55,4,37.862778,-122.31312,326.0,1013.34,45.13,14.67
2025-02-12 12:34:58,4,37.862789,-122.31312,320.0,1013.4,44.42,14.81
2025-02-12 12:35:01,4,37.862793,-122.31311,326.0,1013.39,43.1,14.84
2025-02-12 12:35:04,4,37.862782,-122.3131,306.0,1013.38,42.88,14.88
2025-02-12 12:35:07,4,37.862785,-122.31311,287.0,1013.36,42.74,14.92
2025-02-12 12:35:10,4,37.862785,-122.3131,322.0,1013.38,42.57,15.03
2025-02-12 12:35:13,4,37.862782,-122.3131,321.0,1013.36,42.75,15.09
2025-02-12 12:35:16,4,37.862778,-122.3131,295.0,1013.35,43.0,15.1
2025-02-12 12:35:19,4,37.862766,-122.31309,288.0,1013.39,43.27,15.16
2025-02-12 12:35:22,4,37.862762,-122.3131,321.0,1013.38,44.02,15.26
2025-02-12 12:35:25,4,37.862762,-122.31309,303.0,1013.35,43.34,15.28
2025-02-12 12:35:28,4,37.862759,-122.3131,331.0,1013.37,42.79,15.31
2025-02-12 12:35:31,4,37.862759,-122.3131,292.0,1013.39,43.45,15.3
2025-02-12 12:35:34,4,37.862762,-122.3131,318.0,1013.36,44.37,15.36
2025-02-12 12:35:38,4,37.86277,-122.31309,314.0,1013.36,44.05,15.38
2025-02-12 12:35:41,4,37.862782,-122.31309,320.0,1013.35,44.22,15.41
2025-02-12 12:35:44,4,37.862785,-122.3131,300.0,1013.39,44.52,15.36
2025-02-12 12:35:47,4,37.862789,-122.3131,307.0,1013.39,45.23,15.26
2025-02-12 12:35:50,4,37.862797,-122.31311,298.0,1013.35,45.38,15.18
2025-02-12 12:35:53,4,37.862793,-122.31312,298.0,1013.36,44.94,15.16
2025-02-12 12:35:56,4,37.862801,-122.31312,300.0,1013.38,45.04,15.13
2025-02-12 12:35:59,4,37.862812,-122.31312,305.0,1013.36,44.92,15.09
2025-02-12 12:36:02,4,37.86282,-122.31313,320.0,1013.36,45.6,15.06
2025-02-12 12:36:05,4,37.862823,-122.31312,302.0,1013.35,45.7,14.96
2025-02-12 12:36:08,4,37.862827,-122.31311,307.0,1013.3,44.5,14.92
2025-02-12 12:36:11,4,37.862823,-122.31311,306.0,1013.39,44.09,14.8
2025-02-12 12:36:14,4,37.862808,-122.31309,290.0,1013.38,43.7,14.73
2025-02-12 12:36:17,4,37.862812,-122.31308,299.0,1013.31,43.18,14.82
2025-02-12 12:36:20,4,37.862831,-122.31307,252.0,1013.35,44.21,14.8
2025-02-12 12:36:23,4,37.862854,-122.31309,249.0,1013.32,45.4,14.93
2025-02-12 12:36:26,4,37.862877,-122.31312,239.0,1013.34,45.57,15.08
2025-02-12 12:36:29,4,37.862896,-122.31316,267.0,1013.35,45.44,15.2
2025-02-12 12:36:32,4,37.862904,-122.31317,264.0,1013.36,44.18,15.13
2025-02-12 12:36:36,4,37.862919,-122.31317,257.0,1013.23,43.44,15.1
2025-02-12 12:36:39,4,37.862919,-122.31314,309.0,1013.42,43.09,15.38
2025-02-12 12:36:42,4,37.862904,-122.31315,291.0,1013.37,43.26,15.51
2025-02-12 12:36:45,4,37.862896,-122.31317,274.0,1013.39,42.68,15.65
2025-02-12 12:36:48,4,37.862896,-122.31319,6.0,1013.37,42.25,15.64
2025-02-12 12:36:51,4,37.862873,-122.31319,305.0,1013.37,43.37,15.46
2025-02-12 12:36:54,4,37.862873,-122.31318,297.0,1013.41,43.31,15.43
2025-02-12 12:36:57,4,37.862869,-122.31316,304.0,1013.38,42.64,15.37
2025-02-12 12:37:00,4,37.862846,-122.31316,310.0,1013.38,42.24,15.27
2025-02-12 12:37:03,4,37.862816,-122.31314,308.0,1013.36,42.28,15.27
2025-02-12 12:37:06,4,37.862808,-122.31312,287.0,1013.36,42.52,15.21
2025-02-12 12:37:09,4,37.862812,-122.3131,280.0,1013.35,42.84,15.01
2025-02-12 12:37:12,4,37.862812,-122.31308,311.0,1013.35,43.63,15.14
2025-02-12 12:37:15,4,37.862793,-122.3131,339.0,1013.39,43.49,15.39
2025-02-12 12:37:18,4,37.862804,-122.31311,315.0,1013.38,43.63,15.44
2025-02-12 12:37:21,4,37.862812,-122.31311,314.0,1013.35,44.51,15.61
2025-02-12 12:37:24,4,37.86282,-122.31311,333.0,1013.36,44.38,15.6
2025-02-12 12:37:27,4,37.862808,-122.31312,320.0,1013.35,44.46,15.64
2025-02-12 12:37:31,4,37.862816,-122.31314,340.0,1013.4,45.17,15.82
2025-02-12 12:37:34,4,37.862823,-122.31315,336.0,1013.39,45.1,15.82
2025-02-12 12:37:37,4,37.862846,-122.31316,310.0,1013.41,46.46,15.86
2025-02-12 12:37:40,4,37.862869,-122.31314,308.0,1013.37,46.43,15.93
2025-02-12 12:37:43,4,37.862877,-122.31313,288.0,1013.35,45.18,15.96
2025-02-12 12:37:46,4,37.862888,-122.31313,256.0,1013.39,44.11,16.0
2025-02-12 12:37:49,4,37.862888,-122.31315,266.0,1013.37,43.7,16.1
2025-02-12 12:37:52,4,37.862877,-122.31318,304.0,1013.43,43.33,16.1
2025-02-12 12:37:55,4,37.862854,-122.31319,344.0,1013.42,44.35,16.11
2025-02-12 12:37:58,4,37.86282,-122.31319,331.0,1013.38,44.05,16.13
2025-02-12 12:38:01,4,37.862812,-122.31319,319.0,1013.38,44.5,15.93
2025-02-12 12:38:04,4,37.862808,-122.31319,342.0,1013.4,43.75,16.11
2025-02-12 12:38:07,4,37.86282,-122.31321,314.0,1013.42,43.08,16.11
2025-02-12 12:38:10,4,37.862858,-122.31323,277.0,1013.4,42.36,16.07
2025-02-12 12:38:13,4,37.862877,-122.31324,304.0,1013.38,42.9,16.18
2025-02-12 12:38:16,4,37.862904,-122.31326,284.0,1013.4,43.4,16.28
2025-02-12 12:38:19,4,37.862919,-122.31329,303.0,1013.26,43.14,16.24
2025-02-12 12:38:22,4,37.86293,-122.31329,286.0,1013.26,43.54,16.2
